Product Name,Rating,Customers_Rated,Price,URL
"ZEBRONICS Juke BAR 9750 PRO 5.1.2 Surround Dolby Atmos 525W Soundbar with Subwoofer, Dual Wireless Rear Satellites, HDMI eARC, Optical, Bluetooth 5.0, Wall Mount & Remote Control",4.0 out of 5 stars,23922,19039.0,https://www.amazon.in/ZEBRONICS-Surround-Subwoofer-Satellites-Bluetooth/dp/B0BKL8PS9D/ref=sr_1_28?dib=eyJ2IjoiMSJ9.1bEOEQRwNQ8xR2-rC2Tpga0NNic-0QXWEEGvf_n-kEPI_Zv8cwHQN4-Alff343V2hFYICDncJQvgYE9vKn31fczPBu7TgYijjL3YK9Olky1lA_f0CNBX1LQVIGZ37hhj7pFGmBYKrjYuvCEijwapYN6RthXsquJzUhnoWSAlSmmjCZS7BOCQqe0gPeNogCtblnkbDRHUPrIUOPRrgLUAklXHaiOBnqcfgJdruzKAnos.PEIkvTle2qJ2wAuR5d3_CE0B2hUQyYHReKPwvmvkdgU&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047116&sr=8-28
"ZEBRONICS Zeb-Juke BAR 9500WS PRO Dolby 5.1 soundbar with Wireless Satellites, Dolby Audio, 525 Watts Output Power, 16.5cm subwoofer, HDMI ARC, Optical, BT v5.0, LED Display, Wall Mount and AUX,Black",4.0 out of 5 stars,23922,13999.0,https://www.amazon.in/ZEBRONICS-BAR-9500WS-PRO-5-1/dp/B09QKZNMVD/ref=sr_1_18?dib=eyJ2IjoiMSJ9.1bEOEQRwNQ8xR2-rC2Tpga0NNic-0QXWEEGvf_n-kEPI_Zv8cwHQN4-Alff343V2hFYICDncJQvgYE9vKn31fczPBu7TgYijjL3YK9Olky1lA_f0CNBX1LQVIGZ37hhj7pFGmBYKrjYuvCEijwapYN6RthXsquJzUhnoWSAlSmmjCZS7BOCQqe0gPeNogCtblnkbDRHUPrIUOPRrgLUAklXHaiOBnqcfgJdruzKAnos.PEIkvTle2qJ2wAuR5d3_CE0B2hUQyYHReKPwvmvkdgU&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047116&sr=8-18
"boAt Aavante Bar 3200D Soundbar with Dolby Audio,350W RMS Signature Sound,5.1 Channel,3D Surround Sound,Dual Wireless Rear Speakers&Master Remote(Premium Black)(Premium Black)",3.9 out of 5 stars,426,16999.0,https://www.amazon.in/boAt-Aavante-Bar-3200D-Signature/dp/B0BW9NWMPL/ref=sr_1_3?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-3
"boAt Aavante Bar 4100DA Bluetooth Soundbar with Dolby Atmos 3D Cinematic Sound,300W RMS Signature Sound,3.1.2 Channel, BT v5.3,Multi-Connectivity&EQ Modes &Remote Control(Premium Black)",3.7 out of 5 stars,16,19999.0,https://www.amazon.in/boAt-Aavante-Bar-4100DA-Multi-Connectivity/dp/B0CDQ398JL/ref=sr_1_4?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-4
"boAt Aavante Bar 5500DA 500W Bluetooth Soundbar w/Dolby Atmos & Cinematic Sound,5.1.2 Channel,8 Drivers for Surround Sound Effect,Multi- Compatibility, Remote Control(Premium Black)",3.6 out of 5 stars,72,24999.0,https://www.amazon.in/boAt-Aavante-Bar-5500DA-Compatibility/dp/B0CJLQL9VN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-5
"boAt Aavante Bar Orion Soundbar with 160W RMS Signature Sound, 2.1 CH, BT v5.3, Multi-Compatibility Modes, Wired Subwoofer, EQ Controls, Dynamic LEDs & Master Remote Control(Pitch Black)",4.1 out of 5 stars,3207,7499.0,https://www.amazon.in/boAt-Soundbar-Signature-Multi-Compatibility-Subwoofer/dp/B0BBVBCL3F/ref=sr_1_7?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-7
"ZEBRONICS ZEB-JUKE BAR 3800 PRO DOLBY Wireless Bluetooth Single Soundbar With Supporting Wall Mount, USB, AUX, Optical IN, HDMI ARC & Remote Control. (60 Watt, 2.0 Channel)",4.0 out of 5 stars,23922,4849.0,https://www.amazon.in/ZEBRONICS-Zeb-Juke-Soundbar-Supporting-Bluetooth/dp/B08R1J4VXB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-9
"boAt Aavante Bar 2700 Bluetooth Soundbar with 300W RMS, 2.1CH with Wired Subwoofer, Signature Sound, Multi-Compatibility, EQ Modes, Bluetooth v5.3(Midnight Black)",3.7 out of 5 stars,10,0.0,https://www.amazon.in/boAt-Aavante-Bar-2700-Multi-Compatibility/dp/B0CHM8BZMF/ref=sr_1_13?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-13
"boAt Aavante Bar 3600 Bluetooth Soundbar w/ 500W RMS Signature Sound,5.1 Channel Surround Sound,BTv5.3, Wall Mountable Design,Bass&Treble Controls&Master Remote Control(Premium Black)",3.8 out of 5 stars,102,14999.0,https://www.amazon.in/boAt-Bluetooth-Soundbar-Signature-Mountable/dp/B0CG6N53DP/ref=sr_1_16?dib=eyJ2IjoiMSJ9.R9MxH6_oPLzN7JyZ7EHYHe24TeIpe7RB4QXLbzsC_xYq_MH_E_Y7m5ZjM2hIB-v4ztS4ls966g8cMgnnp0Vp6gR0ONOWQEahjOE0mk771MYJRMqtMrwZDARLCpWCwGZEWi1xOGsvJliCQYuthAZSPd2mdDKvxJdLiG5R_qYmFDfoZ8RiHkD-W02uKkMaLwsNe12I14tVpQNR17etCCcPyrSjkHDX_e7w76fSl_rIuL4.VLjbk5AWvjT9De1js3esBhJAYL7SBxyVrdgo_UsiTjA&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047097&sr=8-16
"boAt Aavante Bar Mystiq Soundbar with 100W RMS Signature Sound, 2.1 CH,Multi-Connectivity Modes,BT v5.3,Wired Subwoofer,EQ Modes,Bass & Treble Control & Remote Control(Pitch Black)",4.0 out of 5 stars,1367,6299.0,https://www.amazon.in/boAt-Soundbar-Signature-Multi-Connectivity-Subwoofer/dp/B0BTDNZQWJ/ref=sr_1_17?dib=eyJ2IjoiMSJ9.1bEOEQRwNQ8xR2-rC2Tpga0NNic-0QXWEEGvf_n-kEPI_Zv8cwHQN4-Alff343V2hFYICDncJQvgYE9vKn31fczPBu7TgYijjL3YK9Olky1lA_f0CNBX1LQVIGZ37hhj7pFGmBYKrjYuvCEijwapYN6RthXsquJzUhnoWSAlSmmjCZS7BOCQqe0gPeNogCtblnkbDRHUPrIUOPRrgLUAklXHaiOBnqcfgJdruzKAnos.PEIkvTle2qJ2wAuR5d3_CE0B2hUQyYHReKPwvmvkdgU&dib_tag=se&keywords=boat+dolby+sound+bar&qid=1714047116&sr=8-17
